ID,Group,Feature_1,Feature_2,Feature_3
ID001,A,2912.2327970944825,390.35327550475097,6783.558026057903
ID002,A,2694.1671678205676,386.6767126448607,6136.095632938142
ID003,C,2598.5297791871017,382.54155470166967,-2222.868005326934
ID004,C,2942.6514044257374,415.9116527968776,-2517.362201820817
ID005,B,2402.772249294045,398.39426786436053,4800.15384829869
ID006,A,2508.516597288454,392.21049904368107,5550.275113411706
ID007,B,2444.025359765037,394.7676526873196,4877.876050749643
ID008,A,2604.064691670283,417.71074071405525,5710.193595854917
ID009,A,2173.035393541497,422.14292510393625,4405.832988874276
ID010,B,2599.5202066250827,398.52312832198817,5202.467645073947
ID011,C,2470.2197397985824,403.4478768582671,-2071.303582936083
ID012,C,2194.3134623159526,401.0882589916043,-1778.8919832850868
ID013,C,2296.596549616158,406.88684711425685,-1888.5560629480947
ID014,B,3127.298901102128,394.115070546972,6250.321916021392
ID015,C,2961.832990706647,384.11376342280937,-2578.5219736871877
ID016,B,2369.5078269231,409.04983133666525,4743.825080074923
ID017,A,2325.565073598321,410.32577831186836,4919.228376455125
ID018,B,2488.6564684996206,389.50315483531347,4986.258614006455
ID019,C,2482.643219297581,412.64194030756187,-2078.910871836096
ID020,C,2497.3567836770058,403.4400388292449,-2120.037529248881
ID021,B,2343.136180662495,404.71989033862945,4672.903393042874
ID022,A,2780.7674512112803,380.8136681769392,6410.55762232567
ID023,B,2665.6417845763654,408.28451946204984,5313.41583632911
ID024,C,2474.7393904821947,364.4834078542384,-2114.4511030618532
ID025,C,2103.548362665938,391.6126099548452,-1702.0919542024128
ID026,A,2443.403774619838,395.90855083438584,5343.456516966722
ID027,B,3044.2301466548656,402.6769876897382,6087.0967922916425
ID028,A,2798.6364164671463,396.96731889495175,6387.524392443777
ID029,B,2366.3359067358174,381.34070733468144,4712.592785911864
ID030,A,2507.615471772388,399.8294979604924,5516.207104333457
ID031,A,2389.3261027400413,408.6593928526397,5112.57947250887
ID032,B,2445.011898503721,398.0607536072893,4896.014110171456
ID033,C,2629.275229675195,396.3555093165393,-2238.2792991047186
ID034,C,2344.782806775443,399.8991118223676,-1942.537645117344
ID035,B,2113.8077362760096,405.6246823856048,4234.699752234094
ID036,B,2268.6434973742103,369.5693297036307,4527.305720731494
ID037,B,2481.139262746146,386.9678565323979,4961.4917733587845
ID038,A,2570.8781792637865,399.23660991797993,5733.732974547282
ID039,B,2622.3397417554215,412.779006626711,5231.366189519254
ID040,C,2495.6232631859298,400.04199719851187,-2079.2298934363907
ID041,C,2399.7831508198155,420.3953292896082,-1964.3129144131842
ID042,B,2516.396721494494,397.75387943595933,5032.4683135789755
ID043,C,2586.26385376813,406.30234740419627,-2172.716546778842
ID044,B,2953.0505639988382,375.3086949099847,5912.620891078683
ID045,C,2705.3245123119873,395.2984056223165,-2319.8450751077
ID046,C,1737.6842083082859,406.4015389956668,-1371.5233504588864
ID047,C,2773.013417283876,389.9153758202085,-2372.46500843605
ID048,C,2909.466523348816,399.51871860134673,-2509.645205836367
ID049,C,2090.7584987464897,399.55073559319914,-1680.844142819298
ID050,B,2532.0349951002954,411.5278149098206,5053.030397196309
ID051,C,2590.4571724775064,402.1842585173911,-2173.227541376547
ID052,A,2598.4351644505937,410.6452958836302,5751.007264230009
ID053,A,2912.862787276046,361.8184010459588,6919.193681837209
ID054,B,2310.6082800529007,413.7403615101499,4610.191212937539
ID055,A,2568.2865535090236,397.9288179671846,5707.093886892573
ID056,A,2439.2075463918854,397.8847733082873,5318.892260530008
ID057,B,2112.4557860802497,391.967215699566,4238.883543869126
ID058,B,2377.9429928354793,403.75888575091636,4738.847342539442
ID059,C,2808.00466208672,452.34390028367704,-2355.3562348957835
ID060,A,2261.17670346208,408.1162266657692,4751.963747151233
ID061,B,2097.462822018021,422.30772436824924,4212.1000501516155
ID062,C,2570.775670536131,416.1926365864539,-2163.3811256587687
ID063,C,3121.054429692361,415.6984697775666,-2692.9459525791854
ID064,A,2447.570726489667,386.8869705352602,5424.919206930203
ID065,B,2207.3577081448625,425.3454099189936,4408.416791635602
ID066,C,2460.473491567491,409.48943355529434,-2045.5131454734833
ID067,B,2286.618297539394,403.1216908415418,4552.927556120201
ID068,C,2488.1794976836586,424.031308401577,-2080.7894092788924
ID069,C,2454.345508029772,406.02262177282006,-2054.703460217085
ID070,A,2458.546817320882,405.21491248187334,5346.77063363527
ID071,C,2646.772328076746,425.8353449161875,-2206.9718571695307
ID072,B,2656.4993025981266,383.368303413861,5320.459214389285
ID073,C,2485.709755033003,396.37806717600705,-2091.814252713552
ID074,C,2683.669870812475,378.78312765516426,-2289.890072139784
ID075,B,2806.99872460781,413.1773706970368,5627.854526848747
ID076,B,2972.7697337570844,396.21768744347924,5937.813806189534
ID077,A,2458.627830469346,389.59502343074763,5436.248457044531
ID078,A,2216.2244722137384,370.57931925041254,4775.893414686681
ID079,C,2504.4753690692605,415.61623319261565,-2063.392567451838
ID080,C,2364.7515068619014,407.0992101048908,-1962.7885021198276
ID081,C,2122.1141926021314,411.20051200452696,-1706.0569652623424
ID082,C,2731.7457735723615,392.1251311396859,-2349.785687160109
ID083,B,2342.7454136184947,399.5839912149661,4701.7836143898785
ID084,C,2379.4073217957452,398.04864759438306,-1991.7094256544615
ID085,A,2461.9786085502255,386.81400953143077,5448.919441448206
ID086,A,2236.5847239905934,390.87337594018953,4772.6771099629095
ID087,A,2854.9590455538637,402.8739847970448,6539.335121964054
ID088,A,2814.95066697312,417.8500044968378,6354.549279646498
ID089,C,2717.53901688128,368.3537029244093,-2353.5618222115845
ID090,B,2485.609133189849,401.38215340785797,4988.678009087046
ID091,B,2506.2991491970315,393.2858784289724,5023.376059070069
ID092,C,2482.672643549734,389.5598703200958,-2096.046355220873
ID093,C,2313.976128447929,381.8152816112325,-1954.0931442013143
ID094,C,2554.917702124357,400.85489796502424,-2160.4390137134915
ID095,C,2357.4460708156057,417.1225967971305,-1930.029832625617
ID096,B,2376.0779304559646,395.0568706116629,4750.4658835158725
ID097,B,2517.7392372301165,392.60963235992983,5039.307972112884
ID098,A,3222.747127846781,410.0063334339796,7607.763921373441
ID099,A,2243.7524543345817,380.2169697069671,4807.24638884809
ID100,A,2704.9151427575734,399.5791013759246,6118.0117160844275
ID101,A,2742.958688002191,389.25267986196127,6289.13840044238
ID102,A,2011.7131037046818,401.72195016943596,4009.660747526123
ID103,C,2267.300965829506,401.58341599167255,-1879.5185505168765
ID104,A,2558.51450749138,393.0883691299228,5688.333122903859
ID105,C,2023.0602962097926,399.186992795636,-1610.541301149257
ID106,B,2132.906626729451,409.5395456285174,4247.768011339725
ID107,C,2980.6422470719413,412.65067906982415,-2582.3640850137613
ID108,B,2611.914986833057,387.4747175297489,5204.315268315707
ID109,A,2301.6662924809984,372.04424832689585,5055.138903129154
ID110,C,2586.7566429409844,380.03736209751094,-2218.6307149345184
ID111,B,2035.3162016454944,420.28802636694456,4065.778142842837
ID112,A,2189.0517307682594,389.31448084890286,4619.425458108454
ID113,A,2694.2945618114013,357.6501114184979,6296.809600391491
ID114,B,2316.233279581687,390.0339221963947,4633.09363820241
ID115,B,1988.3413333747344,402.7401085634248,3973.974291263997
ID116,C,2331.618189493357,403.1266243333324,-1929.1137786921213
ID117,B,2399.569135586782,420.6701567144623,4786.057511806073
ID118,C,1761.3253709733162,395.3036629390454,-1363.310983049341
ID119,C,2691.7289630740934,402.05040045538885,-2248.2794596487065
ID120,B,1858.8993986165528,402.6741077683961,3718.1226236204575
ID121,B,2792.7291036811694,417.122556992285,5579.427825084825
ID122,C,2426.85159700333,383.6002487309189,-2038.7023610960807
ID123,C,2301.520140446145,391.6531848709846,-1932.3008577813853
ID124,A,2325.8525288875935,363.78862552540363,5138.528642041053
ID125,C,2507.5844664657334,398.2527414594012,-2119.4039643952847
ID126,C,2728.0426415483216,415.12155203562486,-2305.8073415536546
ID127,A,2546.647685308635,399.314582742461,5644.386005628606
ID128,C,2543.2918003574323,365.825331886374,-2185.9001773319687
ID129,B,3184.641695670508,394.1228289490904,6365.468321032966
ID130,A,2619.853364576046,362.4079012458796,6045.135119259314
ID131,A,2209.144999388887,404.7790430711193,4613.921525070192
ID132,C,2210.261702760634,403.37182035874645,-1794.8566651923509
ID133,C,2120.557223415804,370.2037707135012,-1727.2737157266924
ID134,B,2847.8442070339906,390.6777267587791,5692.944739150088
ID135,A,2461.479613814904,387.92196727744954,5446.40738159196
ID136,C,2905.027519682556,385.8622027754912,-2517.4288566730906
ID137,A,3191.3186038283843,395.29756075016735,7607.293409941092
ID138,C,2735.5892351009343,407.85618642172136,-2344.220942103431
ID139,C,2305.7745498880513,436.34122043957086,-1851.0847845551473
ID140,B,2382.212255350648,396.15706243115903,4744.961734577559
ID141,C,2506.01792877537,398.5009784905002,-2107.2407155956216
ID142,A,2245.8073719643435,416.6254747972616,4644.253549815313
ID143,C,2475.32898990649,388.25110005949364,-2087.010501555418
ID144,B,3054.9144496973736,403.23119716765615,6125.638740324784
ID145,B,2866.998220339038,413.05068756573604,5739.349883143793
ID146,A,2440.482725672122,375.5797229825682,5447.003740229975
ID147,C,2882.2353683557967,396.32464923705834,-2490.345880358215
ID148,A,3399.0080789081912,394.69528546166634,8215.005475315702
ID149,B,2023.6770345182485,392.0747330555294,4040.7435443287322
ID150,C,2326.5375265238536,407.9047945722371,-1928.1806324077152
ID151,A,2745.0508473807286,377.9843401535424,6349.913941840292
ID152,A,2391.531011795693,397.26262289763207,5186.985205231625
ID153,C,2139.1979266449916,398.4486733153603,-1740.040110253239
ID154,C,2518.6344482890454,426.54909344480484,-2100.1837585173066
ID155,B,2169.492604433556,403.7938685963186,4355.219777600631
